postnummer,week,weekno,postnummer_first_2,Utbildning: Förgymnasial,Utbildning: Gymnasial,Utbildning: Eftergymnasial mindre än 3 år,Utbildning: Eftergymnasial 3 år eller längre inkl. forskarutbildning,Utbildning: Uppgift saknas,"Bakgrund: Svensk, född i Sverige med båda föräldrarna födda i Sverige","Bakgrund: Svensk, född i Sverige med en förälder född i Sverige","Bakgrund: Utländsk, född utomlands","Bakgrund: Utländsk, född i Sverige med båda föräldrarna födda utomlands",Upplåtelse: Äganderätt,Upplåtelse: Bostadsrätt,Upplåtelse: Hyresrätt,Upplåtelse: Uppgift saknas,0 personbilar,1 personbil,2 personbilar,"Bransch: Jordbruk, skogsbruk, jakt och fiske",Bransch: Tillverkning och utvinning,Bransch: Energi och miljöverksamhet,Bransch: Byggverksamhet,Bransch: Handel,Bransch: Transport och magasinering,Bransch: Hotell- och restaurangverksamhet,Bransch: Information och kommunikation,Bransch: Finans- och försäkringsverksamhet,Bransch: Fastighetsverksamhet,Bransch: Företagstjänster,Bransch: Offentlig förvaltning och försvar,Bransch: Utbildning,"Bransch: Vård och omsorg, sociala tjänster",Bransch: Kulturella och personliga tjänster m.m.,Bransch: Okänd verksamhet,Medelantal personer per hushåll
73392,2020w26,26,73XXX,0.069915254,0.603813559,0.131355932,0.165254237,0.029661017,0.900108578,0.046688382,0.046688382,0.006514658,0.968478261,0,0.014130435,0.017391304,372,259,62,0.096045198,0.097928437,0.018832392,0.133709981,0.126177025,0.048964218,0.013182674,0.009416196,0.011299435,0.015065913,0.073446328,0.035781544,0.084745763,0.171374765,0.048964218,0.015065913,2.5
74010,2020w26,26,74XXX,0.124831309,0.516869096,0.128879892,0.209851552,0.019568151,0.806685045,0.077188146,0.090971744,0.025155065,0.866299104,0,0.072363887,0.061337009,1126,886,208,0.043189369,0.047840532,0.015946844,0.139534884,0.128239203,0.086378738,0.019269103,0.028571429,0.003986711,0.018604651,0.112292359,0.057142857,0.114285714,0.140199336,0.034551495,0.009966777,2.3
74011,2020w26,26,74XXX,0.082887701,0.422459893,0.160427808,0.280748663,0.053475936,0.725274725,0.075549451,0.167582418,0.031593407,0.718406593,0.096153846,0.134615385,0.050824176,306,213,43,0.015267176,0.071246819,0.007633588,0.145038168,0.111959288,0.050890585,0.020356234,0.010178117,0.015267176,0.025445293,0.145038168,0.045801527,0.099236641,0.180661578,0.048346056,0.007633588,2.3
74012,2020w26,26,74XXX,0.124697337,0.593220339,0.119854722,0.14527845,0.016949153,0.815995189,0.069753458,0.088394468,0.025856885,0.88214071,0.031870114,0.03728202,0.048707156,690,516,104,0.06257379,0.064935065,0.017709563,0.153482881,0.109799292,0.074380165,0.018890201,0.017709563,0.008264463,0.010625738,0.094451004,0.035419126,0.119244392,0.164108619,0.031877214,0.016528926,2.3
74020,2020w26,26,74XXX,0.072274143,0.447352025,0.142679128,0.327725857,0.009968847,0.792515972,0.07727411,0.099178582,0.031031336,0.845147551,0.052631579,0.064496501,0.037724369,1278,900,213,0.033210332,0.070725707,0.009225092,0.110086101,0.102706027,0.046740467,0.016605166,0.02398524,0.00799508,0.018450185,0.12300123,0.079335793,0.141451415,0.16297663,0.044280443,0.009225092,2.7
74045,2020w26,26,74XXX,0.180527383,0.617647059,0.090263692,0.088235294,0.023326572,0.795186409,0.070788108,0.112789051,0.021236432,0.794714488,0.025011798,0.165172251,0.015101463,938,659,112,0.064210526,0.108421053,0.014736842,0.167368421,0.107368421,0.062105263,0.023157895,0.007368421,0.006315789,0.015789474,0.057894737,0.030526316,0.08,0.2,0.036842105,0.017894737,2
74046,2020w26,26,74XXX,0.131193301,0.656664341,0.084438241,0.120027914,0.007676204,0.857189543,0.048039216,0.077777778,0.016993464,0.785294118,0.018954248,0.15130719,0.044444444,1386,854,167,0.049723757,0.100828729,0.011740331,0.203038674,0.095994475,0.045580111,0.024171271,0.010359116,0.008977901,0.024861878,0.069060773,0.033149171,0.095994475,0.172651934,0.042127072,0.011740331,2.1
74047,2020w26,26,74XXX,0.154362416,0.587919463,0.102013423,0.134228188,0.02147651,0.807078418,0.073560028,0.101318529,0.018043026,0.839000694,0,0.124219292,0.036780014,635,399,89,0.044034091,0.071022727,0.004261364,0.198863636,0.09375,0.058238636,0.026988636,0.018465909,0.005681818,0.009943182,0.102272727,0.034090909,0.116477273,0.163352273,0.036931818,0.015625,2.3
74130,2020w26,26,74XXX,0.097727273,0.338636364,0.147727273,0.370454546,0.045454545,0.687951807,0.1,0.174698795,0.037349398,0.469240048,0.4053076,0.121833534,0.003618818,414,220,28,0.006928406,0.03926097,0.009237875,0.073903002,0.094688222,0.083140878,0.03926097,0.076212471,0.023094688,0.006928406,0.19630485,0.066974596,0.11778291,0.110854504,0.055427252,0,2
74131,2020w26,26,74XXX,0.0651341,0.304597701,0.147509579,0.482758621,0,0.803539823,0.097345133,0.080530973,0.018584071,0.637168142,0.362831858,0,0,402,341,45,0.005319149,0.067375887,0.005319149,0.037234043,0.10106383,0.058510638,0.026595745,0.062056738,0.033687943,0.014184397,0.145390071,0.111702128,0.154255319,0.122340426,0.04964539,0.005319149,2.7
