geo,time,gender,life_expectancy
abw,1960,female,67.129
abw,1961,female,67.625
abw,1962,female,68.065
abw,1963,female,68.458
abw,1964,female,68.817
abw,1965,female,69.165
abw,1966,female,69.526
abw,1967,female,69.917
abw,1968,female,70.345
abw,1969,female,70.811
abw,1970,female,71.306
abw,1971,female,71.815
abw,1972,female,72.313
abw,1973,female,72.779
abw,1974,female,73.204
abw,1975,female,73.579
abw,1976,female,73.902
abw,1977,female,74.183
abw,1978,female,74.43
abw,1979,female,74.647
abw,1980,female,74.839
abw,1981,female,75.01
abw,1982,female,75.164
abw,1983,female,75.305
abw,1984,female,75.436
abw,1985,female,75.556
abw,1986,female,75.663
abw,1987,female,75.754
abw,1988,female,75.827
abw,1989,female,75.886
abw,1990,female,75.932
abw,1991,female,75.969
abw,1992,female,76.002
abw,1993,female,76.033
abw,1994,female,76.066
abw,1995,female,76.1
abw,1996,female,76.133
abw,1997,female,76.164
abw,1998,female,76.192
abw,1999,female,76.221
abw,2000,female,76.257
abw,2001,female,76.307
abw,2002,female,76.375
abw,2003,female,76.465
abw,2004,female,76.575
abw,2005,female,76.703
abw,2006,female,76.845
abw,2007,female,76.992
abw,2008,female,77.14
abw,2009,female,77.285
abw,2010,female,77.425
abw,2011,female,77.561
abw,2012,female,77.695
abw,2013,female,77.83
abw,2014,female,77.965
abw,2015,female,78.1
abw,2016,female,78.236
afg,1960,female,33.133
afg,1961,female,33.586
afg,1962,female,34.03
afg,1963,female,34.469
afg,1964,female,34.904
afg,1965,female,35.337
afg,1966,female,35.768
afg,1967,female,36.2
afg,1968,female,36.634
afg,1969,female,37.072
afg,1970,female,37.518
afg,1971,female,37.97
afg,1972,female,38.432
afg,1973,female,38.904
afg,1974,female,39.39
afg,1975,female,39.891
afg,1976,female,40.409
afg,1977,female,40.945
afg,1978,female,41.503
afg,1979,female,42.086
afg,1980,female,42.705
afg,1981,female,43.369
afg,1982,female,44.08
afg,1983,female,44.837
afg,1984,female,45.636
afg,1985,female,46.473
afg,1986,female,47.345
afg,1987,female,48.239
afg,1988,female,49.138
afg,1989,female,50.024
afg,1990,female,50.874
afg,1991,female,51.667
afg,1992,female,52.393
afg,1993,female,53.051
afg,1994,female,53.643
afg,1995,female,54.179
afg,1996,female,54.676
afg,1997,female,55.156
afg,1998,female,55.642
afg,1999,female,56.145
afg,2000,female,56.678
afg,2001,female,57.249
afg,2002,female,57.849
afg,2003,female,58.468
afg,2004,female,59.1
afg,2005,female,59.73
afg,2006,female,60.346
afg,2007,female,60.933
afg,2008,female,61.486
afg,2009,female,61.999
afg,2010,female,62.476
afg,2011,female,62.924
afg,2012,female,63.354
afg,2013,female,63.778
afg,2014,female,64.197
afg,2015,female,64.613
afg,2016,female,65.024
ago,1960,female,34.737
ago,1961,female,35.07
ago,1962,female,35.421
ago,1963,female,35.789
ago,1964,female,36.173
ago,1965,female,36.568
ago,1966,female,36.971
ago,1967,female,37.379
ago,1968,female,37.787
ago,1969,female,38.194
ago,1970,female,38.601
ago,1971,female,39.011
ago,1972,female,39.426
ago,1973,female,39.843
ago,1974,female,40.258
ago,1975,female,40.663
ago,1976,female,41.05
ago,1977,female,41.412
ago,1978,female,41.742
ago,1979,female,42.039
ago,1980,female,42.299
ago,1981,female,42.52
ago,1982,female,42.71
ago,1983,female,42.877
ago,1984,female,43.026
ago,1985,female,43.163
ago,1986,female,43.289
ago,1987,female,43.41
ago,1988,female,43.537
ago,1989,female,43.682
ago,1990,female,43.854
ago,1991,female,44.056
ago,1992,female,44.296
ago,1993,female,44.588
ago,1994,female,44.948
ago,1995,female,45.403
ago,1996,female,45.978
ago,1997,female,46.68
ago,1998,female,47.508
ago,1999,female,48.453
ago,2000,female,49.502
ago,2001,female,50.635
ago,2002,female,51.819
ago,2003,female,53.023
ago,2004,female,54.222
ago,2005,female,55.404
ago,2006,female,56.568
ago,2007,female,57.714
ago,2008,female,58.836
ago,2009,female,59.911
ago,2010,female,60.908
ago,2011,female,61.795
ago,2012,female,62.556
ago,2013,female,63.188
ago,2014,female,63.695
ago,2015,female,64.094
ago,2016,female,64.411
alb,1960,female,63.247
alb,1961,female,64.325
alb,1962,female,65.261
alb,1963,female,66.017
alb,1964,female,66.585
alb,1965,female,66.987
alb,1966,female,67.273
alb,1967,female,67.517
alb,1968,female,67.779
alb,1969,female,68.084
alb,1970,female,68.441
alb,1971,female,68.84
alb,1972,female,69.247
alb,1973,female,69.64
alb,1974,female,70.014
alb,1975,female,70.37
alb,1976,female,70.711
alb,1977,female,71.045
alb,1978,female,71.382
alb,1979,female,71.725
alb,1980,female,72.085
alb,1981,female,72.472
alb,1982,female,72.885
alb,1983,female,73.315
alb,1984,female,73.746
alb,1985,female,74.15
alb,1986,female,74.488
alb,1987,female,74.741
alb,1988,female,74.902
alb,1989,female,74.978
alb,1990,female,74.992
alb,1991,female,74.981
alb,1992,female,74.985
alb,1993,female,75.039
alb,1994,female,75.158
alb,1995,female,75.352
alb,1996,female,75.618
alb,1997,female,75.931
alb,1998,female,76.269
alb,1999,female,76.616
alb,2000,female,76.953
alb,2001,female,77.264
alb,2002,female,77.541
alb,2003,female,77.782
alb,2004,female,77.988
alb,2005,female,78.17
alb,2006,female,78.344
alb,2007,female,78.528
alb,2008,female,78.733
alb,2009,female,78.962
alb,2010,female,79.209
alb,2011,female,79.462
alb,2012,female,79.705
alb,2013,female,79.927
alb,2014,female,80.124
alb,2015,female,80.297
alb,2016,female,80.451
are,1960,female,55.031
are,1961,female,56.02
are,1962,female,57.002
are,1963,female,57.977
are,1964,female,58.942
are,1965,female,59.889
are,1966,female,60.808
are,1967,female,61.691
are,1968,female,62.53
are,1969,female,63.322
are,1970,female,64.065
are,1971,female,64.762
are,1972,female,65.419
are,1973,female,66.042
are,1974,female,66.636
are,1975,female,67.203
are,1976,female,67.743
are,1977,female,68.256
are,1978,female,68.745
are,1979,female,69.21
are,1980,female,69.652
are,1981,female,70.073
are,1982,female,70.473
are,1983,female,70.853
are,1984,female,71.214
are,1985,female,71.559
are,1986,female,71.887
are,1987,female,72.199
are,1988,female,72.498
are,1989,female,72.784
are,1990,female,73.061
are,1991,female,73.328
are,1992,female,73.587
are,1993,female,73.839
are,1994,female,74.088
are,1995,female,74.336
are,1996,female,74.587
