basomrade,year,mean_income_aged_gt_20,post_secondary_education_min_3_years_aged_25_64,population_aged_gt_20,municipality
1010310_norrlandsgatan,2011,785199.57,0.36,116,0180_stockholm
1230390_ladugardsgardet,2008,755971.59,0.425287356,111,0180_stockholm
5423201_solsidan_norr,2008,741711.98,0.651515152,92,0182_nacka
1230390_ladugardsgardet,2011,715848.7,0.5,75,0180_stockholm
2211130_angbyhojden,2014,704527.34,0.736334405,435,0180_stockholm
1230390_ladugardsgardet,2013,695544.14,0.5,76,0180_stockholm
2211130_angbyhojden,2013,690947.65,0.734627832,422,0180_stockholm
3610810_falkberget,2014,689471.93,0.535519126,210,0163_sollentuna
1230390_ladugardsgardet,2007,688650.48,0.470588235,106,0180_stockholm
3610810_falkberget,2009,683953.02,0.5,200,0163_sollentuna
2211130_angbyhojden,2012,679215.46,0.735099338,419,0180_stockholm
3610810_falkberget,2010,665285.46,0.505681818,197,0163_sollentuna
3414250_ostra_kappala,2014,664175.1,0.582446809,472,0186_lidingo
1230390_ladugardsgardet,2014,662394.59,0.419354839,74,0180_stockholm
3414250_ostra_kappala,2013,659801,0.592797784,452,0186_lidingo
5423201_solsidan_norr,2014,659319.37,0.641791045,94,0182_nacka
3414250_ostra_kappala,2011,657758.81,0.602272727,440,0186_lidingo
3610810_falkberget,2013,653999.87,0.56043956,208,0163_sollentuna
2221000_alsten,2013,651548.94,0.631746032,2188,0180_stockholm
2211130_angbyhojden,2011,647268.73,0.706070288,420,0180_stockholm
3110510_norra_stocksund,2014,647050.7,0.649810367,1083,0162_danderyd
5423201_solsidan_norr,2006,643816.6,0.644736842,95,0182_nacka
2220200_hoglandet,2008,641616.44,0.575801749,918,0180_stockholm
2220200_hoglandet,2014,641580.13,0.64828614,941,0180_stockholm
1230110_karlaplan,2014,641041.25,0.521588946,1031,0180_stockholm
1010310_norrlandsgatan,2010,639571.22,0.368932039,116,0180_stockholm
3414250_ostra_kappala,2009,639008.45,0.580924855,425,0186_lidingo
5423400_solsidan,2014,638958.47,0.561497326,1028,0182_nacka
3610810_falkberget,2008,638603.72,0.488636364,197,0163_sollentuna
5423400_solsidan,2011,635741.63,0.574351978,984,0182_nacka
5423400_solsidan,2012,635299.48,0.569832402,1008,0182_nacka
2211121_farjestadsvagen_v,2014,633679.22,0.70212766,698,0180_stockholm
3413220_norra_hersby,2014,631993.46,0.639150943,609,0186_lidingo
3110270_nora,2014,631408.01,0.647845468,976,0162_danderyd
3411110_norra_sticklinge,2014,629858.52,0.574110672,1341,0186_lidingo
2211130_angbyhojden,2008,629613.58,0.672025723,417,0180_stockholm
3411200_islinge,2014,628486.98,0.586363636,604,0186_lidingo
3110510_norra_stocksund,2012,627877.36,0.655388471,1067,0162_danderyd
1230390_ladugardsgardet,2012,627875.77,0.465517241,77,0180_stockholm
3110510_norra_stocksund,2013,627713.8,0.655388471,1083,0162_danderyd
3411200_islinge,2013,626875.25,0.567198178,586,0186_lidingo
3414250_ostra_kappala,2008,626688.69,0.595441595,426,0186_lidingo
1230110_karlaplan,2012,625321.91,0.551666667,1014,0180_stockholm
1230110_karlaplan,2013,623966.26,0.535776614,1002,0180_stockholm
2220600_smedslatten,2014,623587.69,0.604810997,1700,0180_stockholm
1230140_oscarskyrkan,2013,623383.71,0.538331929,1964,0180_stockholm
5423400_solsidan,2008,622883.16,0.552,968,0182_nacka
2220200_hoglandet,2013,622605.88,0.630882353,956,0180_stockholm
3110440_sodra_djursholm,2010,622516.85,0.604464286,1807,0162_danderyd
2221000_alsten,2014,622310.95,0.642454602,2186,0180_stockholm
2221100_appelviken,2013,621914.56,0.582236842,1276,0180_stockholm
3414250_ostra_kappala,2007,621121.11,0.581460674,430,0186_lidingo
2221100_appelviken,2014,619285.41,0.599099099,1250,0180_stockholm
5423201_solsidan_norr,2012,618180.2,0.571428571,99,0182_nacka
3110510_norra_stocksund,2011,617801.1,0.639606396,1080,0162_danderyd
3110440_sodra_djursholm,2011,616799.08,0.614638448,1848,0162_danderyd
2211121_farjestadsvagen_v,2013,616561.29,0.707602339,685,0180_stockholm
5423201_solsidan_norr,2013,615216.44,0.623188406,96,0182_nacka
2221000_alsten,2011,613473.73,0.624766646,2166,0180_stockholm
3414250_ostra_kappala,2010,613319.85,0.601694915,440,0186_lidingo
3110440_sodra_djursholm,2008,612962.83,0.597981497,1875,0162_danderyd
3413230_sodra_hersby,2014,611496.07,0.572171651,1035,0186_lidingo
2221000_alsten,2012,611225.78,0.624842371,2171,0180_stockholm
3110440_sodra_djursholm,2012,611079.85,0.598579041,1873,0162_danderyd
2220600_smedslatten,2013,610463.53,0.606770833,1713,0180_stockholm
5423400_solsidan,2013,607087.01,0.554794521,1017,0182_nacka
5423400_solsidan,2010,606391.01,0.56097561,979,0182_nacka
3411110_norra_sticklinge,2012,605492.08,0.546950629,1322,0186_lidingo
3414250_ostra_kappala,2012,605278.08,0.6,462,0186_lidingo
3110440_sodra_djursholm,2014,604152.84,0.610434783,1939,0162_danderyd
2220200_hoglandet,2012,604050.82,0.61627907,956,0180_stockholm
2211130_angbyhojden,2010,603305.67,0.688679245,428,0180_stockholm
3110440_sodra_djursholm,2013,602677.82,0.592982456,1914,0162_danderyd
3610810_falkberget,2011,602548.75,0.517241379,200,0163_sollentuna
2220700_stora_mossen,2014,602370.78,0.646090535,1035,0180_stockholm
3413220_norra_hersby,2012,601167.34,0.642352941,608,0186_lidingo
3411510_bo,2013,600778.79,0.662745098,770,0186_lidingo
3411110_norra_sticklinge,2013,600434.71,0.561284047,1336,0186_lidingo
3110510_norra_stocksund,2010,600249.57,0.640682095,1070,0162_danderyd
3910310_sodra_viggbyholm,2014,600247.99,0.531139835,1201,0160_taby
3411510_bo,2012,599240.4,0.652,752,0186_lidingo
5423400_solsidan,2009,598417.17,0.547619048,973,0182_nacka
5423201_solsidan_norr,2011,598335.1,0.637681159,101,0182_nacka
3610810_falkberget,2012,597961.84,0.540229885,204,0163_sollentuna
2211130_angbyhojden,2009,597208,0.665644172,425,0180_stockholm
3110440_sodra_djursholm,2009,596984.37,0.609106529,1833,0162_danderyd
3110270_nora,2013,596794.07,0.631195335,987,0162_danderyd
3412100_elfvik,2008,596647.59,0.43062201,253,0186_lidingo
3110430_norra_djursholm,2014,595980.8,0.554254489,2287,0162_danderyd
3110540_sodra_stocksund,2014,595504.28,0.578360656,2188,0162_danderyd
3411510_bo,2014,593900.71,0.667307692,773,0186_lidingo
3110510_norra_stocksund,2008,593096.93,0.649056604,1030,0162_danderyd
5423400_solsidan,2007,592619.32,0.524374177,967,0182_nacka
3110270_nora,2011,591851.36,0.612612613,934,0162_danderyd
3413230_sodra_hersby,2013,591800,0.56314433,1021,0186_lidingo
3610810_falkberget,2007,590462.62,0.496855346,180,0163_sollentuna
1230390_ladugardsgardet,2009,589954.04,0.402439024,103,0180_stockholm
2220200_hoglandet,2011,588872.68,0.607090103,934,0180_stockholm
3411110_norra_sticklinge,2011,588840.13,0.539130435,1297,0186_lidingo
3910310_sodra_viggbyholm,2013,588314.99,0.529411765,1174,0160_taby
2211121_farjestadsvagen_v,2011,587756.44,0.683111954,686,0180_stockholm
2211130_angbyhojden,2007,587034.94,0.661490683,411,0180_stockholm
2220300_nockeby,2014,585640.69,0.603004292,2195,0180_stockholm
3413140_herserud,2013,585334.44,0.578740157,723,0186_lidingo
3610810_falkberget,2006,585101.61,0.477987421,172,0163_sollentuna
2221000_alsten,2010,584881.41,0.616038882,2171,0180_stockholm
3413830_kottla_molna_kappsta,2014,583019.13,0.557823129,1191,0186_lidingo
3411200_islinge,2011,582848.89,0.544186047,577,0186_lidingo
3411110_norra_sticklinge,2008,582380.58,0.519034355,1282,0186_lidingo
5432710_sodra_lannersta,2014,582191.97,0.47107438,606,0182_nacka
3413220_norra_hersby,2008,582067.93,0.588652482,580,0186_lidingo
2211121_farjestadsvagen_v,2012,582052.92,0.690384615,683,0180_stockholm
3110430_norra_djursholm,2013,581884.84,0.550925926,2284,0162_danderyd
1210140_eriksberg,2014,580932.31,0.559055118,1327,0180_stockholm
3411510_bo,2010,580515.22,0.628626692,758,0186_lidingo
3413220_norra_hersby,2013,578772.01,0.630484988,615,0186_lidingo
