geo,time,GDP,LEX,POP,world_region,category
world,1990,8780.9,65.76,5858793283,world,global
world,2014,10720.8,71,7207330525,world,global
europe,1990,22267.39,72.54,1189222282,europe,region
europe,2014,26145.01,76.69,825094321,europe,region
asia,1990,7688.79,65.25,3071520278,asia,region
asia,2014,7688.66,71.54,4165673702,asia,region
africa,1990,1902.32,53.15,632346655,africa,region
africa,2014,2939,59.61,1115054632,africa,region
americas,1990,17287.35,71.17,716300644,americas,region
americas,2014,22950.81,76.73,961473397,americas,region
_abk,1990,,,,,country
_abk,2014,,,,,country
afg,1990,709.5,48.6,13032161,asia,country
afg,2014,1374.06,61.34,35623235,asia,country
and,1990,28511.18,,52773,europe,country
and,2014,,,90302,europe,country
_akr,1990,,,14127,,country
_akr,2014,,,,,country
alb,1990,3824.84,71.84,3289483,europe,country
alb,2014,7199.94,77.6,3248655,europe,country
dza,1990,5244.5,66.79,25299182,africa,country
dza,2014,6658.74,71.12,37473690,africa,country
asm,1990,6497.34,,47052,asia,country
asm,2014,,,73009,asia,country
ago,1990,2777.41,41.15,10335052,africa,country
ago,2014,6267.64,52.3,21274503,africa,country
aia,1990,12335.01,,8332,americas,country
aia,2014,,,16390,americas,country
atg,1990,11573.56,71.35,62202,americas,country
atg,2014,14395.22,76.12,92290,americas,country
arg,1990,7846.61,71.56,32642442,americas,country
arg,2014,16337.87,76.48,41827217,americas,country
arm,1990,2809.07,67.87,3544695,europe,country
arm,2014,5384.73,74.66,3125790,europe,country
abw,1990,24316.96,73.46,62147,americas,country
abw,2014,,75.58,109118,americas,country
aus,1990,23151.89,77.05,17096153,asia,country
aus,2014,37418.89,82.62,23502754,asia,country
aut,1990,26134.99,75.77,7670513,europe,country
aut,2014,37386.7,81.3,8452081,europe,country
aze,1990,4629.49,64.85,7211692,europe,country
aze,2014,10079.32,70.82,9643103,europe,country
bhs,1990,21906.4,70.7,256128,americas,country
bhs,2014,22051.17,75.39,359142,americas,country
bhr,1990,17860.39,72.38,492891,asia,country
bhr,2014,25303.94,76.74,1389036,asia,country
bgd,1990,798.58,60.01,105256026,asia,country
bgd,2014,1978.51,71.05,156380192,asia,country
brb,1990,13954.77,71.07,259501,americas,country
brb,2014,16395.64,75.53,275746,americas,country
blr,1990,6807.78,71.14,10259700,europe,country
blr,2014,14308.17,70.03,9469915,europe,country
bel,1990,24925.91,76.14,9949019,europe,country
bel,2014,32554.91,80.71,10841093,europe,country
blz,1990,4871.1,71.14,190241,americas,country
blz,2014,7662.83,74.09,337209,americas,country
ben,1990,1165.46,53.51,4773137,africa,country
ben,2014,1505.65,59.49,9865290,africa,country
bmu,1990,48924.63,,59795,americas,country
bmu,2014,,,65457,americas,country
btn,1990,1782.04,52.47,558500,asia,country
btn,2014,7052.66,68.69,773646,asia,country
bol,1990,2897.28,58.81,6658462,americas,country
bol,2014,4624.13,67.54,10573218,americas,country
bih,1990,3844.61,67.17,4308197,europe,country
bih,2014,7882.54,76.53,3726569,europe,country
bwa,1990,7829.23,63.06,1382371,africa,country
bwa,2014,14884.85,48.07,2095201,africa,country
bra,1990,7136.93,66.46,149650206,americas,country
bra,2014,10960.66,74.2,201700544,americas,country
vgb,1990,6846.42,,16491,americas,country
vgb,2014,,,24148,americas,country
chn,1990,1968.25,69.45,1145195235,asia,country
chn,2014,9664.71,75.48,1364773138,asia,country
brn,1990,50563.57,73.55,252125,asia,country
brn,2014,47532.07,78.74,426570,asia,country
bgr,1990,7225.87,71.31,8818915,europe,country
bgr,2014,12264.74,73.65,7300838,europe,country
bfa,1990,880.17,49.45,9323996,africa,country
bfa,2014,1491.78,56.74,18556912,africa,country
bdi,1990,630.44,47.38,5601720,africa,country
bdi,2014,506.9,54.54,9069456,africa,country
khm,1990,754.19,54.89,9531928,asia,country
khm,2014,2328.9,72.25,14835553,asia,country
cmr,1990,2036.08,53.61,12180819,africa,country
cmr,2014,2216.75,55.51,21362945,africa,country
can,1990,27387.27,77.51,27700854,americas,country
can,2014,36643.56,81.63,35309555,americas,country
cpv,1990,1587.89,66.08,348165,africa,country
