geo,time,POP,GDP,LEX,world_region
abw,1800,19286,833,34.42,americas
abw,1801,19286,833,34.42,americas
abw,1802,19286,833,34.42,americas
abw,1803,19286,833,34.42,americas
abw,1804,19286,833,34.42,americas
abw,1805,19286,833,34.42,americas
abw,1806,19286,833,34.42,americas
abw,1807,19286,834,34.42,americas
abw,1808,19286,834,34.42,americas
abw,1809,19286,834,34.42,americas
abw,1810,19286,834,34.42,americas
abw,1811,19291,834,34.42,americas
abw,1812,19300,834,34.42,americas
abw,1813,19315,834,34.42,americas
abw,1814,19334,834,34.42,americas
abw,1815,19359,835,34.42,americas
abw,1816,19388,835,34.42,americas
abw,1817,19422,835,34.42,americas
abw,1818,19462,835,34.42,americas
abw,1819,19506,835,34.42,americas
abw,1820,19555,835,34.42,americas
abw,1821,19609,841,34.42,americas
abw,1822,19669,847,34.42,americas
abw,1823,19734,852,34.42,americas
abw,1824,19803,858,34.42,americas
abw,1825,19878,864,34.42,americas
abw,1826,19958,870,34.42,americas
abw,1827,20044,876,34.42,americas
abw,1828,20135,881,34.42,americas
abw,1829,20230,887,34.42,americas
abw,1830,20332,893,34.42,americas
abw,1831,20438,899,34.42,americas
abw,1832,20546,906,34.42,americas
abw,1833,20653,912,34.42,americas
abw,1834,20762,918,34.42,americas
abw,1835,20870,924,34.42,americas
abw,1836,20980,930,34.42,americas
abw,1837,21090,937,34.42,americas
abw,1838,21201,943,34.42,americas
abw,1839,21312,949,34.42,americas
abw,1840,21423,956,34.42,americas
abw,1841,21536,962,34.42,americas
abw,1842,21649,969,34.42,americas
abw,1843,21762,975,34.42,americas
abw,1844,21876,982,34.42,americas
abw,1845,21991,988,34.42,americas
abw,1846,22106,995,34.42,americas
abw,1847,22222,1002,34.42,americas
abw,1848,22339,1009,34.42,americas
abw,1849,22456,1015,34.42,americas
abw,1850,22574,1022,34.42,americas
abw,1851,22692,1029,34.42,americas
abw,1852,22811,1036,34.42,americas
abw,1853,22931,1043,34.42,americas
abw,1854,23051,1050,34.42,americas
abw,1855,23172,1057,34.42,americas
abw,1856,23294,1064,34.42,americas
abw,1857,23416,1072,34.42,americas
abw,1858,23539,1079,34.42,americas
abw,1859,23662,1086,34.42,americas
abw,1860,23786,1093,34.42,americas
abw,1861,23911,1101,34.42,americas
abw,1862,24036,1108,34.42,americas
abw,1863,24162,1116,34.42,americas
abw,1864,24289,1123,34.42,americas
abw,1865,24417,1131,34.42,americas
abw,1866,24545,1139,34.42,americas
abw,1867,24673,1146,34.42,americas
abw,1868,24803,1154,34.42,americas
abw,1869,24933,1162,34.42,americas
abw,1870,25064,1170,34.42,americas
abw,1871,25195,1178,34.42,americas
abw,1872,25327,1185,34.42,americas
abw,1873,25458,1193,34.42,americas
abw,1874,25591,1202,34.42,americas
abw,1875,25725,1210,34.42,americas
abw,1876,25860,1218,34.42,americas
abw,1877,25994,1226,34.42,americas
abw,1878,26130,1234,34.42,americas
abw,1879,26267,1243,34.42,americas
abw,1880,26405,1251,34.42,americas
abw,1881,26542,1260,34.42,americas
abw,1882,26681,1268,34.42,americas
abw,1883,26821,1277,34.42,americas
abw,1884,26960,1285,34.42,americas
abw,1885,27101,1294,34.42,americas
abw,1886,27243,1303,34.42,americas
abw,1887,27385,1311,34.42,americas
abw,1888,27528,1320,34.42,americas
abw,1889,27673,1329,34.42,americas
abw,1890,27818,1338,34.42,americas
abw,1891,27964,1347,34.42,americas
abw,1892,28110,1356,34.42,americas
abw,1893,28258,1366,34.42,americas
abw,1894,28406,1375,34.42,americas
abw,1895,28555,1384,34.42,americas
abw,1896,28705,1393,34.42,americas
abw,1897,28855,1403,34.42,americas
abw,1898,29007,1412,34.42,americas
abw,1899,29159,1422,34.42,americas
abw,1900,29312,1431,34.42,americas
abw,1901,29466,1441,34.42,americas
abw,1902,29619,1451,34.42,americas
abw,1903,29774,1461,34.42,americas
abw,1904,29930,1471,34.42,americas
abw,1905,30087,1480,34.42,americas
abw,1906,30245,1490,34.42,americas
abw,1907,30402,1501,34.42,americas
abw,1908,30561,1511,34.42,americas
abw,1909,30722,1521,34.42,americas
abw,1910,30883,1531,34.42,americas
abw,1911,31044,1541,34.42,americas
abw,1912,31207,1552,34.42,americas
abw,1913,31371,1562,34.42,americas
abw,1914,31535,1601,34.42,americas
abw,1915,31701,1640,34.42,americas
abw,1916,31867,1681,34.42,americas
abw,1917,32034,1722,34.42,americas
abw,1918,32202,1765,22.32,americas
abw,1919,32371,1808,34.42,americas
abw,1920,32541,1853,34.42,americas
abw,1921,32711,1899,34.42,americas
abw,1922,32883,1947,35.25,americas
abw,1923,33055,1996,36.07,americas
